Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Car_Age,Mileage_per_Year
Chevrolet,Cruze,2013,Saudi,White,Standard,1.6,Gas,Automatic,120000,Taef,18000.0,12,9230.76923076923
Lexus,NX,2018,Saudi,White,Standard,2.0,Gas,Automatic,1800,Jeddah,161000.0,7,225.0
Toyota,Land Cruiser Pickup,2019,Saudi,Brown,Full,4.0,Gas,Manual,67000,Jeddah,95000.0,6,9571.42857142857
Toyota,Rav4,2017,Saudi,Silver,Full,2.5,Gas,Automatic,174000,Jeddah,77000.0,8,19333.333333333332
Hyundai,Sonata,2016,Gulf Arabic,Blue,Full,1.5,Gas,Automatic,73000,Tabouk,63000.0,9,7300.0
Hyundai,H1,2008,Saudi,White,Full,3.5,Gas,Manual,1000,Tabouk,17000.0,17,55.55555555555556
Chevrolet,Impala,2015,Other,Silver,Full,3.6,Gas,Automatic,169000,Al-Ahsa,72000.0,10,15363.636363636364
Renault,Koleos,2017,Saudi,Black,Full,2.5,Gas,Automatic,103503,Riyadh,64000.0,8,11500.333333333334
Ford,Flex,2013,Saudi,Black,Full,3.5,Gas,Automatic,71927,Riyadh,64000.0,12,5532.846153846154
Toyota,Hilux,2018,Saudi,White,Semi Full,2.7,Gas,Manual,111362,Riyadh,64500.0,7,13920.25
Toyota,Camry,2017,Saudi,Blue,Full,2.5,Gas,Automatic,215735,Riyadh,64500.0,8,23970.555555555555
Toyota,Land Cruiser Pickup,2016,Saudi,Another Color,Full,4.0,Gas,Manual,26000,Jeddah,115000.0,9,2600.0
Hyundai,Tucson,2018,Saudi,Grey,Semi Full,2.0,Gas,Automatic,60000,Jeddah,70000.0,7,7500.0
Hyundai,Sonata,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,125000,Jeddah,57000.0,7,15625.0
Hyundai,Elantra,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,144000,Jeddah,45000.0,7,18000.0
Toyota,Camry,2014,Saudi,Red,Semi Full,2.5,Gas,Automatic,117000,Jeddah,43000.0,11,9750.0
Toyota,Yaris,2018,Saudi,White,Standard,1.5,Gas,Automatic,98000,Jeddah,35000.0,7,12250.0
Toyota,Yaris,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,68000,Jeddah,35000.0,7,8500.0
Hyundai,Accent,2018,Saudi,Silver,Standard,1.4,Gas,Automatic,96000,Jeddah,34000.0,7,12000.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,127000,Jeddah,33000.0,7,15875.0
Hyundai,Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,120000,Jeddah,32000.0,7,15000.0
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,94000,Riyadh,58500.0,6,13428.57142857143
Lexus,UX,2020,Gulf Arabic,White,Full,2.0,Gas,Automatic,10000,Dammam,176000.0,5,1666.6666666666667
Mercedes,C,2017,Other,White,Full,2.0,Gas,Automatic,54000,Dammam,153000.0,8,6000.0
Hyundai,Elantra,2018,Other,White,Standard,1.6,Diesel,Automatic,45000,Riyadh,54000.0,7,5625.0
Toyota,Camry,2019,Saudi,White,Standard,2.5,Gas,Automatic,124004,Riyadh,65000.0,6,17714.85714285714
Mazda,CX3,2020,Saudi,Blue,Standard,2.0,Gas,Automatic,14501,Riyadh,66000.0,5,2416.8333333333335
Ford,Taurus,2018,Saudi,Black,Standard,2.0,Gas,Automatic,78508,Riyadh,65000.0,7,9813.5
Peugeot,308,2012,Saudi,Navy,Standard,3.5,Gas,Automatic,290000,Jubail,12000.0,13,20714.285714285714
Honda,Accord,2017,Saudi,Navy,Full,3.5,Gas,Automatic,25400,Jeddah,90000.0,8,2822.222222222222
Lexus,ES,2016,Gulf Arabic,Golden,Semi Full,1.6,Gas,Automatic,12472,Dammam,91200.0,9,1247.2
Nissan,Sunny,2011,Saudi,White,Standard,1.4,Gas,Automatic,108000,Riyadh,19000.0,14,7200.0
Chevrolet,Silverado,2019,Saudi,White,Full,5.3,Gas,Automatic,33000,Tabouk,170000.0,6,4714.285714285715
Ford,Expedition,2016,Gulf Arabic,Black,Full,3.5,Gas,Automatic,100000,Qassim,98000.0,9,10000.0
Lexus,ES,2016,Other,White,Full,3.5,Gas,Automatic,103000,Jeddah,102000.0,9,10300.0
Hyundai,Senta fe,2015,Saudi,White,Full,3.3,Gas,Automatic,246000,Khobar,60000.0,10,22363.636363636364
Toyota,Ciocca,2013,Other,Black,Full,5.7,Gas,Automatic,53000,Riyadh,90000.0,12,4076.923076923077
MG,RX5,2020,Saudi,Silver,Full,2.0,Gas,Automatic,7855,Riyadh,65500.0,5,1309.1666666666667
Jeep,Compass,2019,Saudi,Brown,Semi Full,2.4,Gas,Automatic,43834,Riyadh,66000.0,6,6262.0
Ford,Edge,2016,Saudi,Black,Standard,3.5,Gas,Automatic,105344,Riyadh,66500.0,9,10534.4
Hyundai,Azera,2016,Saudi,White,Full,3.0,Gas,Automatic,91747,Riyadh,66500.0,9,9174.7
Kia,Carnival,2015,Gulf Arabic,Silver,Full,3.3,Gas,Automatic,34200,Al-Ahsa,50000.0,10,3109.090909090909
Kia,Rio,2019,Saudi,Red,Standard,1.4,Gas,Automatic,17500,Al-Ahsa,37000.0,6,2500.0
Hyundai,Sonata,2018,Saudi,White,Semi Full,2.4,Gas,Automatic,78000,Riyadh,63000.0,7,9750.0
Nissan,Z370,2020,Saudi,Grey,Full,3.7,Gas,Manual,3000,Dammam,129000.0,5,500.0
Peugeot,Partner,2016,Saudi,White,Standard,1.6,Gas,Manual,114000,Dammam,22000.0,9,11400.0
Chevrolet,Camaro,2017,Other,Red,Full,2.0,Gas,Automatic,81633,Riyadh,120000.0,8,9070.333333333334
Chevrolet,Tahoe,2020,Saudi,Black,Semi Full,5.3,Gas,Automatic,67000,Riyadh,176000.0,5,11166.666666666666
Nissan,Sunny,2018,Saudi,White,Semi Full,1.5,Gas,Automatic,58244,Riyadh,30000.0,7,7280.5
Audi,A8,2016,Saudi,Bronze,Full,3.0,Gas,Automatic,42000,Dammam,165000.0,9,4200.0
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,108000,Dammam,79000.0,9,10800.0
Toyota,Yaris,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,134000,Jeddah,36000.0,7,16750.0
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,91000,Riyadh,30000.0,8,10111.111111111111
Chevrolet,Malibu,2015,Saudi,Red,Full,2.4,Gas,Automatic,175500,Khobar,32000.0,10,15954.545454545454
Toyota,Prado,2011,Saudi,White,Standard,2.7,Gas,Automatic,263000,Khobar,55000.0,14,17533.333333333332
Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,52000,Riyadh,139000.0,6,7428.571428571428
Ford,Taurus,2016,Other,White,Full,3.5,Gas,Automatic,91815,Riyadh,86000.0,9,9181.5
Mitsubishi,Pajero,2017,Saudi,White,Semi Full,3.5,Gas,Automatic,161709,Riyadh,66500.0,8,17967.666666666668
Hyundai,Kona,2020,Saudi,White,Standard,2.0,Gas,Automatic,10239,Riyadh,66500.0,5,1706.5
Mazda,6,2018,Saudi,Red,Standard,2.5,Gas,Automatic,68263,Riyadh,66500.0,7,8532.875
Nissan,Armada,2006,Saudi,Black,Full,5.6,Gas,Automatic,184000,Jeddah,30000.0,19,9200.0
Jaguar,X Type,2006,Saudi,Navy,Full,3.5,Gas,Automatic,200000,Riyadh,30000.0,19,10000.0
Chevrolet,Tahoe,2010,Saudi,Silver,Full,5.8,Gas,Automatic,340000,Tabouk,40000.0,15,21250.0
Toyota,Ciocca,2013,Saudi,White,Standard,5.7,Gas,Automatic,114000,Al-Medina,89000.0,12,8769.23076923077
Toyota,Yaris,2016,Saudi,White,Standard,1.4,Gas,Automatic,128000,Dammam,25000.0,9,12800.0
Kia,Rio,2016,Saudi,White,Standard,1.4,Gas,Automatic,237000,Dammam,21000.0,9,23700.0
Ford,Taurus,2015,Other,Brown,Full,3.5,Gas,Automatic,104000,Dammam,74000.0,10,9454.545454545454
Toyota,Ciocca,2015,Saudi,Silver,Semi Full,5.7,Gas,Automatic,85000,Dammam,125000.0,10,7727.272727272727
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,84000,Dammam,72000.0,12,6461.538461538462
Kia,Sportage,2016,Other,White,Standard,2.0,Diesel,Automatic,55000,Riyadh,68000.0,9,5500.0
GMC,Yukon,2008,Saudi,Black,Semi Full,1.6,Gas,Automatic,250000,Riyadh,22000.0,17,13888.888888888889
Cadillac,CT-S,2011,Saudi,Another Color,Full,3.0,Gas,Automatic,101000,Yanbu,40000.0,14,6733.333333333333
Mazda,6,2020,Saudi,White,Standard,2.5,Gas,Automatic,78000,Riyadh,76000.0,5,13000.0
Chevrolet,Lumina,2008,Saudi,Black,Semi Full,3.6,Gas,Automatic,205000,Dammam,12000.0,17,11388.888888888889
Toyota,Camry,2017,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,119550,Riyadh,66500.0,8,13283.333333333334
Toyota,Furniture,2015,Saudi,Black,Standard,2.7,Gas,Automatic,164277,Riyadh,66500.0,10,14934.272727272728
Ford,Expedition,2013,Saudi,Grey,Full,5.4,Gas,Manual,225299,Riyadh,66587.0,12,17330.69230769231
Hyundai,Sonata,2019,Saudi,White,Standard,2.4,Gas,Automatic,49515,Riyadh,68000.0,6,7073.571428571428
Nissan,Bus Urvan,2010,Gulf Arabic,White,Full,2.7,Gas,Manual,2012,Dammam,14500.0,15,125.75
Ford,Expedition,2013,Other,Grey,Standard,5.4,Gas,Automatic,121000,Riyadh,40000.0,12,9307.692307692309
Mitsubishi,Pajero,2016,Gulf Arabic,Another Color,Full,3.8,Gas,Automatic,132000,Aseer,63000.0,9,13200.0
Chevrolet,Malibu,2013,Saudi,White,Full,3.6,Gas,Automatic,177000,Dammam,30000.0,12,13615.384615384615
Hyundai,Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,102000,Dammam,48000.0,6,14571.42857142857
Chevrolet,Impala,2018,Saudi,Black,Standard,3.6,Gas,Automatic,52000,Riyadh,75000.0,7,6500.0
Chevrolet,Camaro,2017,Other,Red,Full,6.2,Gas,Automatic,116000,Dammam,129000.0,8,12888.888888888889
Ford,Taurus,2018,Saudi,Another Color,Standard,3.5,Gas,Automatic,63000,Jeddah,80000.0,7,7875.0
Toyota,Ciocca,2016,Saudi,White,Semi Full,5.7,Gas,Automatic,92000,Dammam,108000.0,9,9200.0
Ford,Taurus,2017,Saudi,Silver,Standard,3.5,Gas,Automatic,132000,Dammam,65000.0,8,14666.666666666666
Chevrolet,Impala,2014,Saudi,White,Semi Full,3.6,Gas,Automatic,181000,Riyadh,60000.0,11,15083.333333333334
Ford,Taurus,2015,Saudi,White,Semi Full,2.5,Gas,Automatic,172000,Jeddah,52000.0,10,15636.363636363636
Toyota,Furniture,2015,Saudi,White,Standard,2.7,Gas,Automatic,250000,Makkah,55000.0,10,22727.272727272728
Nissan,Sentra,2018,Gulf Arabic,White,Standard,1.6,Gas,Automatic,97000,Al-Ahsa,39000.0,7,12125.0
Mercedes,ML,2013,Gulf Arabic,Another Color,Full,5.5,Gas,Automatic,140000,Riyadh,120000.0,12,10769.23076923077
GMC,Sierra,2016,Saudi,Silver,Full,5.7,Gas,Automatic,109000,Dammam,100000.0,9,10900.0
Honda,Accord,2016,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,106214,Riyadh,67500.0,9,10621.4
Toyota,Rav4,2017,Saudi,Grey,Standard,2.5,Gas,Automatic,235614,Riyadh,67500.0,8,26179.333333333332
Nissan,Altima,2018,Gulf Arabic,White,Semi Full,2.5,Gas,Automatic,48096,Riyadh,68000.0,7,6012.0
Hyundai,Accent,2008,Saudi,White,Standard,1.6,Gas,Manual,250000,Qassim,4000.0,17,13888.888888888889
Lincoln,MKX,2016,Other,White,Full,3.7,Gas,Automatic,99000,Dammam,100000.0,9,9900.0
Fiat,500,2019,Saudi,Black,Full,1.4,Gas,Automatic,19000,Dammam,70000.0,6,2714.285714285714
Chevrolet,Malibu,2013,Saudi,Silver,Full,3.6,Gas,Automatic,165000,Dammam,30000.0,12,12692.307692307691
Chevrolet,Malibu,2016,Saudi,Silver,Semi Full,2.5,Gas,Automatic,203000,Dammam,32000.0,9,20300.0
Changan,CS35,2019,Saudi,Grey,Full,1.6,Gas,Automatic,150000,Dammam,40000.0,6,21428.571428571428
Chevrolet,Camaro,2017,Other,Yellow,Full,3.6,Gas,Automatic,118000,Dammam,113000.0,8,13111.111111111111
Porsche,Macan,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,93000,Jeddah,138000.0,10,8454.545454545454
Mazda,CX9,2015,Saudi,Silver,Full,3.7,Gas,Automatic,260000,Dammam,63000.0,10,23636.363636363636
Toyota,Hiace,2016,Saudi,White,Standard,2.4,Gas,Manual,307000,Riyadh,60000.0,9,30700.0
Toyota,Camry,2018,Saudi,Silver,Standard,2.5,Gas,Automatic,109000,Qassim,80000.0,7,13625.0
Hyundai,Senta fe,2014,Saudi,Black,Full,1.4,Gas,Automatic,265000,Qassim,52000.0,11,22083.333333333332
Lexus,ES,2007,Saudi,Another Color,Full,3.5,Gas,Automatic,250000,Al-Namas,25000.0,18,13157.894736842105
Volkswagen,Passat,2014,Saudi,Brown,Standard,2.5,Gas,Automatic,88673,Jeddah,50000.0,11,7389.416666666667
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,203957,Riyadh,68500.0,7,25494.625
Mazda,CX9,2015,Saudi,White,Full,3.7,Gas,Automatic,217162,Riyadh,68500.0,10,19742.0
Kia,Sorento,2016,Saudi,White,Full,3.5,Gas,Automatic,93914,Riyadh,68500.0,9,9391.4
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,192692,Riyadh,68500.0,8,21410.222222222223
Chevrolet,Tahoe,2007,Saudi,Bronze,Semi Full,5.5,Gas,Automatic,450,Jeddah,27500.0,18,23.68421052631579
Ford,Explorer,2014,Saudi,Black,Standard,3.6,Gas,Automatic,158000,Riyadh,55000.0,11,13166.666666666666
Kia,Cadenza,2016,Other,Another Color,Full,3.0,Gas,Automatic,33212,Qassim,66000.0,9,3321.2
Lexus,ES,2017,Other,White,Full,3.5,Gas,Automatic,69000,Dammam,142000.0,8,7666.666666666667
Lexus,GS,2017,Saudi,Bronze,Full,3.5,Gas,Automatic,80000,Dammam,175000.0,8,8888.888888888889
Isuzu,D-MAX,2014,Saudi,White,Standard,2.5,Diesel,Manual,288000,Dammam,42000.0,11,24000.0
Chevrolet,Suburban,2019,Saudi,Grey,Standard,5.3,Gas,Automatic,37000,Riyadh,148000.0,6,5285.714285714285
Toyota,Yaris,2019,Saudi,Silver,Semi Full,1.5,Gas,Automatic,42628,Dammam,38500.0,6,6089.714285714285
Mercedes,CLS,2016,Gulf Arabic,Black,Full,3.0,Gas,Automatic,45000,Dammam,168000.0,9,4500.0
Chevrolet,Camaro,2018,Other,Blue,Full,3.6,Gas,Automatic,79000,Dammam,113000.0,7,9875.0
Kia,Stinger,2020,Saudi,Grey,Full,3.3,Gas,Automatic,7000,Dammam,160000.0,5,1166.6666666666667
Ford,Taurus,2015,Saudi,White,Standard,2.5,Gas,Automatic,247000,Qassim,55000.0,10,22454.545454545456
Cadillac,CT-S,2013,Saudi,Blue,Semi Full,3.8,Gas,Automatic,137000,Al-Medina,45000.0,12,10538.461538461539
Toyota,Land Cruiser,2015,Saudi,White,Full,4.6,Gas,Automatic,264000,Jeddah,140000.0,10,24000.0
Nissan,Sentra,2014,Saudi,Silver,Semi Full,1.4,Gas,Automatic,165000,Riyadh,18500.0,11,13750.0
Mitsubishi,Pajero,2018,Gulf Arabic,Golden,Semi Full,3.5,Gas,Automatic,108000,Riyadh,77000.0,7,13500.0
Audi,A8,2013,Other,Black,Full,4.0,Gas,Automatic,100000,Riyadh,108000.0,12,7692.307692307692
Toyota,Camry,2016,Saudi,Grey,Semi Full,2.4,Gas,Automatic,77000,Riyadh,63000.0,9,7700.0
Hyundai,Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,69000,Riyadh,34000.0,8,7666.666666666667
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,143594,Riyadh,69000.0,8,15954.888888888889
Mazda,6,2019,Saudi,Grey,Standard,2.5,Gas,Automatic,64970,Riyadh,69500.0,6,9281.42857142857
Isuzu,D-MAX,2018,Saudi,White,Standard,2.5,Diesel,Manual,52849,Riyadh,69500.0,7,6606.125
Hyundai,Sonata,2018,Saudi,Black,Semi Full,2.4,Gas,Automatic,84795,Riyadh,69500.0,7,10599.375
Chevrolet,Caprice,2015,Saudi,Black,Full,6.0,Gas,Automatic,172000,Riyadh,108000.0,10,15636.363636363636
Honda,Accord,2016,Gulf Arabic,Red,Semi Full,2.4,Gas,Automatic,80000,Riyadh,69000.0,9,8000.0
Toyota,Prado,2020,Saudi,White,Semi Full,2.7,Gas,Automatic,5000,Riyadh,153000.0,5,833.3333333333334
Lexus,IS,2018,Saudi,Black,Semi Full,3.5,Gas,Automatic,131,Riyadh,166000.0,7,16.375
Honda,Accord,2017,Gulf Arabic,Blue,Full,2.5,Gas,Automatic,75000,Riyadh,90000.0,8,8333.333333333334
Ford,Expedition,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,90000,Riyadh,97000.0,8,10000.0
Lexus,ES,2018,Gulf Arabic,Brown,Full,2.4,Gas,Automatic,20000,Riyadh,126000.0,7,2500.0
Ford,Edge,2017,Gulf Arabic,Blue,Standard,3.5,Gas,Automatic,82000,Riyadh,80000.0,8,9111.111111111111
Lexus,RX,2016,Saudi,Golden,Full,3.5,Gas,Automatic,104000,Riyadh,148000.0,9,10400.0
Ford,Flex,2015,Saudi,Grey,Semi Full,3.5,Gas,Automatic,167000,Riyadh,53000.0,10,15181.818181818182
Nissan,Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,40000,Riyadh,59000.0,8,4444.444444444444
Ford,Explorer,2017,Gulf Arabic,White,Standard,3.5,Gas,Automatic,94000,Riyadh,82000.0,8,10444.444444444445
Ford,Expedition,2016,Saudi,White,Standard,3.5,Gas,Automatic,103000,Riyadh,83000.0,9,10300.0
Toyota,Hiace,2016,Other,White,Standard,2.7,Gas,Manual,99999,Riyadh,69000.0,9,9999.9
Chevrolet,Impala,2019,Gulf Arabic,White,Standard,3.5,Gas,Automatic,16000,Riyadh,95000.0,6,2285.714285714286
Mercedes,C,2017,Other,Black,Full,2.0,Gas,Automatic,86000,Jeddah,105000.0,8,9555.555555555555
Toyota,Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,65000,Jeddah,57000.0,7,8125.0
Honda,Civic,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,122,Jeddah,43000.0,8,13.555555555555555
Mercedes,Viano,2013,Saudi,Black,Semi Full,3.5,Gas,Automatic,154000,Jeddah,45000.0,12,11846.153846153846
Hyundai,Senta fe,2016,Saudi,Brown,Standard,3.3,Gas,Automatic,134000,Riyadh,48000.0,9,13400.0
Toyota,Prado,2013,Saudi,White,Semi Full,3.8,Gas,Manual,186000,Riyadh,55000.0,12,14307.692307692309
Mazda,CX9,2014,Saudi,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,42000.0,11,10250.0
Ford,Taurus,2015,Saudi,Black,Semi Full,3.5,Gas,Automatic,154706,Riyadh,69500.0,10,14064.181818181818
Nissan,X-Trail,2018,Saudi,Brown,Standard,2.5,Gas,Automatic,30507,Riyadh,69500.0,7,3813.375
Audi,A3,2016,Saudi,Red,Semi Full,1.4,Gas,Automatic,70278,Riyadh,69500.0,9,7027.8
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,57482,Riyadh,69500.0,8,6386.888888888889
Hyundai,Accent,2014,Other,Another Color,Standard,1.4,Gas,Manual,252000,Taef,20000.0,11,21000.0
Chevrolet,Tahoe,2015,Saudi,Black,Standard,5.3,Gas,Automatic,121000,Riyadh,92000.0,10,11000.0
GMC,Yukon,2015,Saudi,Silver,Standard,5.3,Gas,Automatic,170000,Arar,102000.0,10,15454.545454545454
Hyundai,Sonata,2017,Other,Black,Semi Full,1.7,Diesel,Automatic,82190,Qassim,63000.0,8,9132.222222222223
Kia,Cores,2015,Saudi,Another Color,Full,3.5,Gas,Automatic,75000,Dammam,75000.0,10,6818.181818181818
Geely,Emgrand,2014,Saudi,Silver,Full,1.6,Gas,Automatic,108800,Dammam,12000.0,11,9066.666666666666
Hyundai,Azera,2016,Other,White,Full,3.0,Gas,Automatic,111000,Dammam,86000.0,9,11100.0
GMC,Yukon,2007,Saudi,Black,Full,5.3,Gas,Automatic,235000,Dammam,65000.0,18,12368.421052631578
Hyundai,Elantra,2016,Other,White,Standard,1.6,Diesel,Automatic,55000,Riyadh,48000.0,9,5500.0
Hyundai,Senta fe,2016,Saudi,White,Full,3.3,Gas,Automatic,157000,Al-Ahsa,69000.0,9,15700.0
Toyota,Rav4,2016,Saudi,Black,Standard,2.5,Gas,Automatic,231000,Jubail,52000.0,9,23100.0
GMC,Yukon,2016,Saudi,Golden,Semi Full,5.5,Gas,Automatic,145000,Al-Medina,100000.0,9,14500.0
Toyota,Camry,2017,Saudi,Another Color,Full,2.5,Gas,Automatic,166,Riyadh,55000.0,8,18.444444444444443
Toyota,Innova,2017,Saudi,White,Standard,2.7,Gas,Automatic,106377,Riyadh,69500.0,8,11819.666666666666
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,133148,Riyadh,70000.0,8,14794.222222222223
Toyota,Hiace,2017,Saudi,White,Standard,2.7,Gas,Manual,134007,Riyadh,70000.0,8,14889.666666666666
Hyundai,Kona,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,30271,Riyadh,70000.0,5,5045.166666666667
Hyundai,H1,2016,Saudi,White,Standard,2.4,Gas,Automatic,154000,Al-Ahsa,54000.0,9,15400.0
Chevrolet,Tahoe,2016,Saudi,Silver,Semi Full,5.3,Gas,Automatic,104000,Al-Ahsa,112000.0,9,10400.0
Ford,Edge,2017,Saudi,Black,Semi Full,3.5,Gas,Automatic,92000,Riyadh,81000.0,8,10222.222222222223
Hyundai,Elantra,2016,Other,White,Full,1.6,Diesel,Automatic,101715,Qassim,52000.0,9,10171.5
Nissan,Bus Urvan,2009,Saudi,White,Standard,2.5,Gas,Manual,173000,Dammam,25000.0,16,10176.470588235294
Chevrolet,Caprice,2013,Saudi,Black,Full,5.7,Gas,Automatic,148316,Dammam,65000.0,12,11408.923076923076
MG,RX8,2020,Saudi,Grey,Semi Full,2.0,Gas,Automatic,19000,Jeddah,88000.0,5,3166.6666666666665
Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,145000,Riyadh,38000.0,12,11153.846153846154
GMC,Yukon,2019,Saudi,Another Color,Standard,5.3,Gas,Automatic,83000,Jeddah,165000.0,6,11857.142857142857
Toyota,Hilux,2016,Saudi,White,Full,2.7,Gas,Automatic,2500,Dammam,105000.0,9,250.0
Chevrolet,Tahoe,2012,Saudi,White,Standard,5.3,Gas,Automatic,61000,Jeddah,80000.0,13,4357.142857142857
Jaguar,XJR,2013,Saudi,Black,Full,3.5,Gas,Automatic,130000,Al-Medina,85000.0,12,10000.0
GMC,Savana,2007,Saudi,Blue,Standard,3.5,Gas,Automatic,63000,Al-Medina,75000.0,18,3315.7894736842104
Toyota,Yaris,2016,Saudi,White,Standard,1.5,Gas,Automatic,119000,Dammam,32000.0,9,11900.0
Hyundai,Tucson,2018,Saudi,Blue,Standard,2.0,Gas,Automatic,17002,Jeddah,70500.0,7,2125.25
Honda,Accord,2017,Saudi,Black,Full,2.4,Gas,Automatic,139806,Riyadh,71500.0,8,15534.0
Toyota,Hilux,2016,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,122084,Riyadh,71500.0,9,12208.4
Hyundai,Sonata,2018,Saudi,Navy,Semi Full,2.4,Gas,Automatic,65325,Riyadh,71500.0,7,8165.625
Lexus,ES,2016,Saudi,Bronze,Semi Full,3.4,Gas,Automatic,154000,Dammam,88000.0,9,15400.0
Ford,Taurus,2016,Other,White,Semi Full,3.5,Gas,Automatic,102000,Dammam,72000.0,9,10200.0
Dodge,Charger,2015,Other,Blue,Full,5.7,Gas,Automatic,119000,Dammam,105000.0,10,10818.181818181818
Ford,Taurus,2018,Other,Black,Semi Full,3.5,Gas,Automatic,107000,Dammam,77000.0,7,13375.0
Ford,Taurus,2016,Other,Brown,Full,3.5,Gas,Automatic,91000,Dammam,70000.0,9,9100.0
Toyota,Avalon,2015,Other,White,Semi Full,3.5,Gas,Automatic,80000,Dammam,86000.0,10,7272.727272727273
Lexus,ES,2016,Other,Another Color,Full,3.5,Gas,Automatic,87000,Dammam,119000.0,9,8700.0
GMC,Acadia,2014,Saudi,Black,Full,3.6,Gas,Automatic,193000,Dammam,58000.0,11,16083.333333333334
GMC,Yukon,2014,Saudi,White,Full,5.3,Gas,Automatic,327000,Dammam,77000.0,11,27250.0
Lexus,RC,2015,Other,White,Full,3.3,Gas,Automatic,139000,Dammam,121000.0,10,12636.363636363636
Ford,Taurus,2018,Other,Black,Full,3.5,Gas,Automatic,92000,Dammam,93000.0,7,11500.0
Ford,Mustang,2019,Other,Red,Full,2.3,Gas,Automatic,41000,Dammam,123000.0,6,5857.142857142857
Ford,Mustang,2016,Gulf Arabic,Yellow,Full,5.0,Gas,Manual,50000,Dammam,127000.0,9,5000.0
GMC,Yukon,2013,Saudi,Silver,Standard,5.3,Gas,Automatic,292000,Dammam,74000.0,12,22461.53846153846
Porsche,Panamera,2011,Saudi,Brown,Full,3.0,Gas,Automatic,113000,Dammam,99000.0,14,7533.333333333333
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,77000,Dammam,139000.0,7,9625.0
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,179000.0,9,11400.0
Chevrolet,Camaro,2018,Other,Silver,Full,3.6,Gas,Automatic,89000,Dammam,109000.0,7,11125.0
Ford,Marquis,2010,Other,Silver,Full,5.0,Gas,Automatic,270000,Riyadh,19000.0,15,16875.0
Mazda,CX9,2016,Other,White,Full,2.5,Gas,Automatic,104000,Dammam,105000.0,9,10400.0
Cadillac,Escalade,2016,Other,Grey,Full,6.2,Gas,Automatic,114000,Dammam,175000.0,9,11400.0
Toyota,Prado,2018,Gulf Arabic,White,Semi Full,4.0,Gas,Automatic,19000,Dammam,143000.0,7,2375.0
Chevrolet,Camaro,2017,Other,Silver,Full,3.6,Gas,Automatic,99000,Dammam,109000.0,8,11000.0
Chevrolet,Caprice,2015,Saudi,Silver,Standard,6.0,Gas,Automatic,147374,Riyadh,71500.0,10,13397.636363636364
Audi,A6,2013,Saudi,Grey,Semi Full,3.0,Gas,Automatic,74924,Riyadh,71500.0,12,5763.384615384615
Lincoln,MKZ,2013,Saudi,Black,Semi Full,3.7,Gas,Automatic,98100,Riyadh,71500.0,12,7546.153846153846
Hyundai,Sonata,2018,Saudi,Silver,Full,2.4,Gas,Automatic,84315,Riyadh,72500.0,7,10539.375
Ford,Taurus,2015,Other,Grey,Full,3.5,Gas,Automatic,100000,Dammam,79000.0,10,9090.90909090909
Chevrolet,Traverse,2016,Other,White,Full,3.5,Gas,Automatic,154000,Dammam,85000.0,9,15400.0
Chevrolet,Silverado,2018,Saudi,White,Standard,5.3,Gas,Automatic,57000,Dammam,89000.0,7,7125.0
Ford,Fusion,2015,Saudi,Black,Semi Full,2.5,Gas,Automatic,157000,Dammam,47000.0,10,14272.727272727272
Ford,Taurus,2015,Other,White,Full,3.5,Gas,Automatic,96000,Dammam,85000.0,10,8727.272727272728
